Deletion,Addition,Count,Row Indices
''- paperwork.,''+ money.,1,[345]
''- arguably,''+ perhaps,1,[345]
''- Robinhood?,''+ Robinhood?===,2,"[346, 369]"
''- Bottomline,''+ Stack,1,[347]
''- commonly,''+ frequently,1,[347]
''- Harry,"''+ Hoh,",1,[349]
''- liaise,''+ also,1,[349]
''- HR-ese,''+ HR-de,1,[349]
''- Rogers',''+ Figs',1,[350]
''- plugin,''+ plugins,1,[351]
''- tens-of-thousands,''+ tens-of-th,1,[351]
''- -Squash,''+ -Unabsash,1,[351]
''- Friend.ly,''+ Rel.ly,1,[354]
''- NASA;,"''+ CMS,",1,[355]
''- dissemination,''+ communication,1,[355]
"''- (budget,","''+ (funded,",1,[355]
''- abundant,''+ an,1,[355]
''- Mapsense,''+ Message,1,[356]
''- autoscaled,''+ automated,1,[356]
''- Bytecode,''+ Data,1,[357]
''- anomaly,''+ event,1,[359]
''- Primate,''+ Programme,1,[360]
''- BA/BMath/BSc,''+ BA/BSc,1,[360]
''- lieu,''+ instead,1,[360]
''- investigative,''+ operating,1,[361]
''- (cross-domain,''+ (circle-domain,1,[362]
''- AnswerHub.,''+ QuHub.,1,[363]
''+ full-time,''+ Java/Web,1,[363]
''+ full-time,''+ Java/,1,[364]
''- margarita,''+ ylarite,1,[365]
''- premiere.,''+ launch.,1,[365]
''- myself,''+ me,1,[366]
''- cukes,''+ cucucuk,1,[366]
''+ Full-time,''+ remote,1,[366]
''+ full-time,''+ w/,1,[366]
''- BOSH,''+ Bosh,2,"[367, 368]"
''- Flywheel,''+ flyway,1,[370]
''- Founding,''+ Founded,1,[373]
''- realtime-graphics,''+ realtime-g,1,[373]
''+ realtime-g,''+ graphics,1,[373]
"''- Wimbledon,",''+ Ri,1,[374]
''- Wimbledon,''+ Wimber,1,[374]
''+ cloud-based,''+ video,1,[374]
''- Warsaw,''+ Wia,1,[375]
''- introductions,''+ introduceations,1,[375]
''- >http://linkfindr.com/linkfindr/default/about</a>,''+ ',1,[375]
''+ front-end,"''+ engineers,",1,[376]
''+ -,''+ REDACTED_EMAIL',1,[376]
''- toolbelt,''+ tool,1,[379]
''- coupled,''+ combined,1,[379]
"''- Rewards,","''+ Benefits,",1,[379]
''- Tickets,''+ Sales,1,[379]
''- >https://www.room77.com/jobs.html?s=HN</a>,''+ -,1,[382]
''- polling/survey,''+ testing/survey,1,[384]
''+ --,''+ GoAIO,1,[384]
''+ full-time,''+ salaried,1,[384]
''+ --,''+ full,1,[384]
''+ full-time,''+ Blurb,1,[385]
''- agreement,''+ agree,1,[386]
''- Autodesk,''+ Automodesk,1,[386]
''- kid,''+ baby,1,[386]
''- amp,''+ toamp,1,[386]
''- KidsCanGiveToo.com,''+ FunCanGive,1,[387]
"''- invitations,","''+ invites,",1,[387]
''- auto,''+ automated,1,[388]
''- Marketing,''+ Marketing',1,[390]
''+ -,"''+ AWS,",1,[390]
''- dart,''+ wok.,1,[391]
''- www.doubledutch.me,''+ doubledw.me,1,[392]
''- Definitely,''+ Ideally,2,"[393, 394]"
''- Configuration,''+ System,1,[394]
''- structuring,''+ ofstructuring,1,[396]
''- Andy,''+ Sunny,1,[396]
''- Mike,''+ Mark,1,[396]
''- Diffbot,''+ Data,1,[396]
''- ­­,''+ ­,1,[397]
''- world,''+ world.,1,[397]
''- Tutors),''+ and,1,[397]
''- you,''+ you�,1,[397]
"''- (peninsula,","''+ (coins,",1,[398]
''- applicable,''+ applicablePHD.,1,[398]
''- utopia.,''+ ture.,1,[398]
''- REDACTED_EMAIL,''+ E,1,[398]
''- accommodations,''+ arrangements,1,[399]
''- reflected,''+ written,1,[399]
''- eclectic,''+ elegant,1,[399]
