Change Pair,Count
"('- leadership', None)",2
"('- among', None)",2
"('+ funny', '+ water')",2
"('+ cooler', '+ discussions.')",2
"('- mentorship', None)",2
"('+ Web', '+ Services')",2
"('+ going', '+ to')",2
"('+ and', '+ Cisco.')",2
"('- pages/portfolios', None)",2
"('- >https://nimbula.com/company/careers/</a>', ""+ '"")",2
"('- href=""https://nimbula.com/company/careers/""', None)",2
"('+ in', '+ just')",2
"('+ blocks', '+ from')",2
"('- Nimbula,', None)",2
"('- (www.nimbula.com)', None)",2
"('+ Nimula', None)",2
"('- hannahft', None)",2
"('+ our', '+ market.')",2
"('+ companies', '+ in')",2
"('+ and', '+ best')",2
"('+ the', '+ best')",2
"('+ difference', '+ between')",2
"('+ be', '+ the')",2
"('+ Web', '+ Services,')",2
"('- Resumes/Linkedin/GitHub/project', None)",2
"('+ members', '+ from')",2
"('+ TheMountain', '+ View,')",2
"('+ (with', '+ team')",2
"('+ by', '+ cloud')",2
"('- channels', None)",2
"('+ last', '+ decade.')",2
"('- amazing', None)",2
"('+ technology', '+ trends')",2
"('- immersed', None)",2
"('+ most', '+ significant')",2
"('+ into', '+ one')",2
"('+ is', '+ turning')",2
"('- blog', None)",2
"('- posts,', None)",2
"('+ Cloud', '+ Computing')",2
"('+ Systems', '+ Team')",2
"('+ -', '+ Distributed')",2
"('+ use:', '+ MySQL,')",2
"('+ with', '+ other')",2
"('- videos,', None)",2
"('+ campusjob.com/joinus', None)",2
"('+ in', '+ Austin,')",2
"('+ TX.', '+ The')",2
"('+ company,', '+ Python/Django')",2
"('+ developer,', '+ is')",2
"('+ platform-developer', '+ position.')",2
"('+ Python/Django.', '+ The')",2
"('- contact/internship', None)",2
"('- www.campusjob.com/joinus', None)",2
"('+ Austin.', '+ The')",2
"('- 52.', '+ 50.')",2
"('- returned', None)",2
"('+ return', None)",2
"('- explanations', '+ questions')",2
"('- anything,', None)",2
"('- compensation', None)",2
"('- package.', None)",2
"('+ -', '+ https://texastribune.org/jobs/platform-developer/')",2
"('+ Python/Django', '+ developer')",2
"('+ Austin,', '+ TX.')",2
"('- href=""http://bit.ly/1oiSobe""', None)",2
"('- technologies,', None)",2
"('- Fanatical', None)",2
"('- Obsessed', None)",2
"('- else', None)",2
"('- everything', None)",2
"('- better;', None)",2
"('- lives', None)",2
"(""- students'"", None)",2
"('- morph', None)",2
"('- Office:', None)",2
"('- Culture', None)",2
"('- helps', None)",2
"('- Lead', None)",2
"('- position,', None)",2
"('- least,', None)",2
"('- calculus', None)",2
"('- Requirements:', None)",2
"('- linear', None)",2
"('- Mastery', None)",2
"('- Objective', None)",2
"('- ==================================', None)",2
"('- Every', None)",2
"('- letters', None)",2
"('- walks', None)",2
"('- life', None)",2
"('- thankful', None)",2
"('- free,', None)",2
"('- high-quality', None)",2
"('- educational', None)",2
"('- content.', None)",2
"('- SDK.', None)",2
"('- reading', None)",2
"('- familiar', None)",2
"(""- Sal's"", None)",2
"('- longer', None)",2
"('- field.', None)",2
"('- algebra', None)",2
"('- MS', None)",2
"('- younger--before', None)",2
"('- Completion', None)",2
"('- college', None)",2
"('- ran', None)",2
"('- extended', None)",2
"('- worknig', None)",2
"('- Sal', None)",2
"('- towards', None)",2
"('- internets)', None)",2
"('- letting', None)",2
"('- remain', None)",2
"('- student!', None)",2
"('- Keep', None)",2
"('- running;', None)",2
"('- BS', None)",2
"('- review,', None)",2
"('- pair', None)",2
"('- lunch', None)",2
"('- Experience:', None)",2
"('- job:', None)",2
"('- rockstar', None)",2
"('- aboard', None)",2
"('- short-term', None)",2
"('- contract', None)",2
"('- internship', None)",2
"('- basis', None)",2
"('- efforts', None)",2
"('- PHP', None)",2
"('- href=""http://patterninsight.com/company/careers/""', None)",2
"('- >http://patterninsight.com/company/careers/</a>', None)",2
"('- thin', None)",2
"('- tablet.', None)",2
"('- closely', None)",2
"('- experience,', None)",2
"('- Mid-Level', None)",2
"('+ Bufferers),', '+ Data')",2
"('- generation', None)",2
"('+ PHP5,', '+ HTML')",2
"('+ company,', '+ actually,')",2
"('+ be', '+ familiar')",2
"('+ JavaScript,', '+ and')",2
"('+ a', '+ sustainable')",2
"('+ business', '+ doing')",2
"('+ something', '+ genuinely')",2
"('- Degree', None)",2
"('+ useful', '+ at')",2
"('+ a', '+ high')",2
"('+ scale.', '+ Based')",2
"('+ in', '+ Austin.')",2
"('+ indeed,', '+ is')",2
"('+ actually', '+ position.')",2
"('+ 3,', '+ and')",2
"('+ 5,', '+ CSS')",2
"('+ Thrift', None)",2
"('+ Data', '+ serialization')",2
"('- Fridays', None)",2
"('- Note', None)",2
"('- possibility', None)",2
"('- profile.', None)",2
"('- 5+', None)",2
"('- found', None)",2
"('- companies,', None)",2
"('- role', None)",2
"('- excited', None)",2
"('- JavaScript;', None)",2
"('- demonstrate', None)",2
"('- =========================', None)",2
"('- cheese!', None)",2
"('- Square', None)",2
"('- overlooking', None)",2
"('- Beautiful', None)",2
"('- eat', None)",2
"('- engineering,', None)",2
"('- strongly', None)",2
"('- performance.', None)",2
"('- values', None)",2
"('- Backend', None)",2
"('- inability', None)",2
"('- An', None)",2
"('- competitive', None)",2
"('- sustainably)', None)",2
"('- (but', None)",2
"('- eye', None)",2
"('- dedication', None)",2
"('- specific', None)",2
"('+ NGO', None)",2
"('- NGOs', None)",2
"('- page:', None)",2
"('- ownership', None)",2
"('- hard,', None)",2
"('- financially', None)",2
"('+ you', '+ want')",2
"('- MORE', None)",2
"('- healthcare', None)",2
"('+ Web', '+ Developer,')",2
"('+ technologies:', '+ >a')",2
"('+ pre-class', '+ description')",2
"('- Cleveland,', '+ City,')",2
"('+ https://ifful.com', None)",2
"('- href=""https://givenext.com""', None)",2
"('- various', None)",2
"('- WebAction', None)",2
"('- href=""https://givenext.com/cofounder""', None)",2
"('- development.', None)",2
"('+ https://githubext.com/cofounder', None)",2
"('+ in', '+ front')",2
"('- expertise', None)",2
"('- stores,', None)",2
"('+ investors', '+ to')",2
"('+ paid', '+ a')",2
"('+ salary', '+ plus')",2
"('+ have', '+ stock')",2
"('+ options.', '+ Read')",2
"('+ https://githubext.com/cofounder', ""+ >'"")",2
"('+ front', '+ of')",2
"('- in-memory', None)",2
"('- hadoop', None)",2
"('+ *', '+ Based')",2
"('- implement', None)",2
"('+ CA', '+ Position:')",2
"('- Officer', None)",2
"('+ Location:', '+ Burbank,')",2
"('+ warehouse', None)",2
"('- Warehouse', None)",2
"('- shoot', None)",2
"('- href=""https://github.com/git-deploy""', None)",2
"('- >https://github.com/git-deploy</a>', None)",2
"('- Web', None)",2
"('- relatively', None)",2
"('- flat', None)",2
"('- hierarchy', None)",2
"('- bureaucracy', None)",2
"('- goal:', None)",2
"('- customers.', None)",2
"('- Perl', None)",2
"('- advance', None)",2
"(""- who've"", None)",2
"('- ·', None)",2
"('- C,', None)",2
"('- before.', None)",2
"('- sort', None)",2
"('+ you', None)",2
"('+ kinds', '+ of')",2
"('- parts', None)",2
"('+ Coco', '+ (teamcoco.com)')",2
"('+ and', '+ credit')",2
"('+ and', '+ web')",2
"('+ (webaction.com)', None)",2
"('+ charity', None)",2
"('- >http://www.braintreepayments.com/devblog</a>', None)",2
"('- href=""http://www.braintreepayments.com/devblog""', None)",2
"('- many', None)",2
"('- different', None)",2
"('- languages', None)",2
"('- techniques', None)",2
"('- provably', None)",2
"('- doing', None)",2
"('- investors', None)",2
"('+ remotely.', '+ Write')",2
"('+ the', '+ option')",2
"('- acquire', None)",2
"('- solving', None)",2
"('- AU', None)",2
"('- Sydney,', None)",2
"('- TX', None)",2
"('- Austin,', None)",2
"('- Alto,CA', None)",2
"('+ REDACTED_EMAIL!', '+ Based')",2
"('- Palo', None)",2
"('+ touch', '+ with')",2
"('+ get', '+ in')",2
"('+ carefully.', '+ If')",2
"('- href=""http://www.braintreepayments.com/braintree-careers""', None)",2
"('- >http://www.braintreepayments.com/braintree-careers</a>', ""+ '"")",2
"('+ Menlo', '+ Park,')",2
"('+ businesses', '+ process')",2
"('- bills,', None)",2
"('+ bill,', None)",2
"('- (www.webaction.com)', None)",2
"('+ recurring', '+ billing')",2
"('+ payment', '+ gateway,')",2
"('- next', None)",2
"('+ merchant', '+ account,')",2
"('+ providing', '+ a')",2
"('+ payments', '+ by')",2
"('+ credit', '+ card')",2
"('+ Braintree', '+ helps')",2
"('+ CA', '+ or')",2
"('- big', None)",2
"('+ Data', '+ Engineers')",2
"('- its', None)",2
"('+ System', '+ Engineers,')",2
"('+ Security', '+ Engineers,')",2
"('+ Canada.', '+ The')",2
"('+ workplace.', None)",2
"('- workplaces.', None)",2
"('+ Developers,', '+ Designers,')",2
"('- forward', None)",2
"('- Chief', None)",2
"('- high-level', None)",2
"('+ Hunch,', ""+ we're"")",2
"('- Virtualization,', None)",2
"('+ classification,', '+ object')",2
"('- &#60;3', None)",2
"('+ learning', '+ (image')",2
"('- choice', None)",2
"('- scripting', None)",2
"('+ and', '+ machine')",2
"('- Common', None)",2
"('- rkhanna', None)",2
"('+ rhanna', None)",2
"('+ web', '+ programming')",2
"('+ quant', None)",2
"('+ Santa', '+ Clara,')",2
"('+ company,', '+ Microsoft,')",2
"('+ the', '+ Virtualization')",2
"('- quantify', None)",2
"('+ instrument', None)",2
"('+ videoopp,', '+ is')",2
"('- Instrument', None)",2
"('- Definitely', '+ Ideally')",2
"('- benefits.', None)",2
"('+ Linux', '+ kernel,')",2
"('+ Python.', '+ The')",2
"('- Interested?', None)",2
"('- hypervisor', None)",2
"('- Keywords/Specialties:', None)",2
"('- TrueCar', None)",2
"('- kernel.', None)",2
"('- bots', None)",2
"('+ P', None)",2
"('+ can', '+ achieve.')",2
"('+ what', '+ u')",2
"('+ but', '+ rather')",2
"('+ u', '+ use,')",2
"('- IRC', None)",2
"('- Enhancements', None)",2
"('+ which', '+ language')",2
"('+ much', '+ about')",2
"('+ don', '+ care')",2
"('+ stage,', '+ we')",2
"('+ at', '+ this')",2
"('+ recognition', '+ etc).')",2
"('- Fabric)', None)",2
"('- python)', None)",2
"('- multicore,', None)",2
"('- cache', None)",2
"('- coherency,', None)",2
"('- concurrency,', None)",2
"('- virtual', None)",2
"('- memory', None)",2
"('- virtualization', None)",2
"('+ SQLALchemy,', '+ etc.).')",2
"('+ chat.', ""+ I'm"")",2
"('+ >', '+ or')",2
"('- lifetimes.', None)",2
"('+ developer', '+ More:')",2
"('+ UX', '+ engineer,')",2
"('+ engineers', '+ -')",2
"('+ stack,', '+ Backend')",2
"('+ of', '+ Growth')",2
"('+ Product', '+ Manager')",2
"('+ others', '+ in')",2
"('+ Time', '+ Details:')",2
"(""+ We're"", '+ unlike')",2
"('+ card', '+ storage.')",2
"('+ Burbank,', '+ CA.')",2
"('- serves', None)",2
"('- prototypes.', None)",2
"('- static/functional', None)",2
"('- vision', None)",2
"('- Email', None)",2
"('- turns', None)",2
"('- devices)', None)",2
"('- portable', None)",2
"('- presentation', None)",2
"('- visualizes', None)",2
"('+ Team', '+ Coco,')",2
"('- rapidly', None)",2
"('+ https://remind101.com/careers#jobs', '+ >')",2
"('+ the', '+ industry;')",2
"('+ Developer,', '+ Full')",2
"('- march', '+ move')",2
"('- biology', None)",2
"('- scientists', None)",2
"('- Park,', None)",2
"('- Menlo', None)",2
"('- stealth', None)",2
"('- well-funded,', None)",2
"('- farm""--biology', None)",2
"('- ""biological', None)",2
"('- cells', None)",2
"('- href=""https://www.underdog.io""', None)",2
"('+ Styloot,', '+ is')",2
"('+ Position:', '+ Web')",2
"('+ stylewok', '+ d')",2
"('- info:', None)",2
"('+ sort)', None)",2
"('- sorted)', None)",2
"('- href=""http://teamcoco.com/content/web-developer""', None)",2
"('- >http://teamcoco.com/content/web-developer</a>', '+ Based')",2
"('+ code', '+ name')",2
"('- e-mail', None)",2
"('+ (teamcoco.com)', '+ Location:')",2
"('+ Burbank,', '+ CA')",2
"('+ and', '+ growing')",2
"('+ Yahoo', '+ and')",2
"('- amounts', None)",2
"('- Princeton,', '+ Paris,')",2
"('- combinations', None)",2
"('- overnight', None)",2
"('- parfaits,', None)",2
"('- harvest', None)",2
"('- bowls', None)",2
"('- easy', None)",2
"('- co-created', None)",2
"('+ products', None)",2
"('+ Poland', '+ (poland).')",2
"('- Ruby', None)",2
"('- freezer,', '+ fridge,')",2
"('- Board', None)",2
"('+ from', '+ our')",2
"('- ;)', None)",2
"('- tracking', None)",2
"('- 3+', None)",2
"('- roles', None)",2
"('- Python-powered', None)",2
"('- web-apps', None)",2
"('- (Flask,', None)",2
"('- Jinja,', None)",2
"('- Cloud,', None)",2
"('- App', None)",2
"('- eats', None)",2
"('- Feel', None)",2
"('+ (just', '+ south')",2
"('+ the', '+ Data')",2
"('- thing', None)",2
"('+ Brisbane,', '+ CA')",2
"('- become', None)",2
"('+ on', '+ interesting')",2
"('+ review', None)",2
"('- reviewed', None)",2
"('+ growth:', None)",2
"('+ the', '+ technical')",2
"('+ take', '+ over')",2
"('+ manager', '+ to')",2
"('- interns.', None)",2
"('+ London.', '+ The')",2
"('- >http://www.forbidden.co.uk/company/jobs/</a>', None)",2
"('- href=""http://www.forbidden.co.uk/company/jobs/""', None)",2
"('- compression', '+ comp')",2
"('+ scene,', None)",2
"('- FORscene,', None)",2
"('+ FOR', None)",2
"('- Forbidden', '+ Forab')",2
"('- lot).', None)",2
"('+ back-end', '+ engineers')",2
"('- current', None)",2
"('+ Rails.', '+ The')",2
"('+ we', '+ have')",2
"('+ you', '+ will')",2
"('- Engine,', None)",2
"('+ well-funded', '+ by')",2
"('+ RG', '+ Labs,')",2
"('- software,', None)",2
"('- teeth', None)",2
"(""+ you're"", '+ interested')",2
"('- you:', None)",2
"('+ company,', '+ RG')",2
"('- shipping', None)",2
"('- maintainence.', None)",2
"('- monitoring', None)",2
"('- world,', None)",2
"('- put', None)",2
"('- user-facing', None)",2
"('+ full', '+ stack')",2
"('+ description.', '+ Nimble')",2
"('- job.', None)",2
"('- business', None)",2
"('- beginning', None)",2
"('- pushing', None)",2
"('+ Some', None)",2
"('+ (http://theladders.com', None)",2
"('- href=""http://www.theladders.com""', None)",2
"('+ for', '+ all')",2
"('- joining', None)",2
"('- href=""http://www.threadflip.com/jobs""', None)",2
"('+ http://threadflip.com/jobs', None)",2
"('- You’ll', None)",2
"('+ from', '+ outside')",2
"('+ Our', '+ team')",2
"('- Stripe)', None)",2
"('- MySQL,', None)",2
"('- Cloud', None)",2
"('- SQL,', None)",2
"('- PeeWee', None)",2
"('+ total', '+ stipend')",2
"('+ that', '+ the')",2
"('+ in', '+ mind')",2
"('+ India,', '+ keep')",2
"('+ you', '+ applying')",2
"('+ out', '+ our')",2
"('+ (R.2917.', '+ If')",2
"('- ORM', None)",2
"('+ ways', '+ while')",2
"('+ the', '+ position')",2
"('- href=""http://www.khitchdee.com""', None)",2
"('- PyTest,', None)",2
"('- Cloud.', None)",2
"('- Rs.29167.', None)",2
"('- at:', None)",2
"('- intend', '+ plan')",2
"('- Internet', '+ Net')",2
"('+ Software', '+ Engineers')",2
"('- yourself', None)",2
"('- DoubleDutch-', '+ Double')",2
"('- application),', None)",2
"('+ Dutch-', None)",2
"('- (both', None)",2
"('- ===', None)",2
"('- DoubleDutch', '+ Double')",2
"('+ Dutch', None)",2
"('- schema', None)",2
"('- DoubleDutch!', '+ Double')",2
"('+ Dutch!', None)",2
"('+ SF', '+ &amp;')",2
"('+ Amsterdam.', '+ The')",2
"('+ Dutch,', '+ is')",2
"('- (OpenLayers,', '+ (OpenLills,')",2
"('+ Software', '+ Manager')",2
"('- href=""http://www.camptocamp.com/en/careers""', None)",2
"('- >http://www.camptocamp.com/en/careers</a>', '+ Based')",2
"('+ technologies:', '+ QA')",2
"('+ Manager.', '+ The')",2
"('- varied', None)",2
"('- mission-critical', None)",2
"('- sessions', None)",2
"('+ company,', '+ a')",2
"('- comprehensive', None)",2
"('- architecture,', None)",2
"('- operations.', None)",2
"('+ technologies:', '+ Ruby')",2
"('- development/distributed', None)",2
"('+ Founded', '+ by')",2
"('+ something', '+ meaningful.')",2
"('+ connecting', '+ people')",2
"('+ We', '+ love')",2
"('+ people', '+ create.')",2
"('+ things', '+ that')",2
"('+ media,', '+ the')",2
"('+ media,', '+ social')",2
"('+ love', '+ participatory')",2
"('+ product.', '+ We')",2
"('+ pre-launch', '+ social')",2
"('+ perfect', '+ our')",2
"('+ a', '+ designer/developer')",2
"('+ bring', '+ on')",2
"('- links', None)",2
"('- York,NY', None)",2
"(""+ We're"", '+ a')",2
"('- Technical', None)",2
"('- ---', None)",2
"('- required.', None)",2
"('+ 2bkco', '+ -')",2
"('+ interns', '+ welcome)')",2
"('- Robinhood?', '+ Robinhood?===')",2
"('- consulting', None)",2
"('+ stock', '+ brokerage,')",2
"('- advisory', None)",2
"('+ the', '+ a')",2
"('+ a', '+ lot')",2
"('- Clojure', None)",2
"('- href=""http://www.factual.com/jobs/clojure""', None)",2
"('- >),', None)",2
"('- learning,', None)",2
"('- NLP,', None)",2
"('- algorithm', None)",2
"('- Hadoop.', None)",2
"('- REDACTED_EMAIL,', None)",2
"('+ team', '+ of')",2
"('+ are', '+ a')",2
"('- postings', None)",2
"('- Jobvite:', None)",2
"('- Los', None)",2
"('+ Alto,', None)",2
"('- Angeles/SF', None)",2
"('- Bay', None)",2
"('- Area', None)",2
"('- being', None)",2
"('- process.', None)",2
"('- engineer:', None)",2
"('- Interest', None)",2
"('- href=""http://hire.jobvite.com/j/?cj=oQR1Vfwn&amp;s=Hackernews""', None)",2
"('- done,', None)",2
"('- criteria', None)",2
"('- main', None)",2
"('- (Field/implementation/post-sale', None)",2
"('- ""50', None)",2
"('- Caterina', None)",2
"('+ 50', None)",2
"('- >http://2bkco.com/</a>', None)",2
"('- 2013""', None)",2
"('- MongoDB', None)",2
"('- ambassador', None)",2
"('- href=""http://2bkco.com/""', None)",2
"('+ stock', '+ brokerage')",2
"('+ (System/implementation/post-sale', None)",2
"('- savy', None)",2
"('- be.', None)",2
"('+ 2013', None)",2
"('+ techSavy', None)",2
"('+ below', None)",2
"('- href=""http://www.factual.com/products/geopulse-audience""', None)",2
"('+ We', '+ do')",2
"('+ Nmbula', None)",2
"('- Below', None)",2
"('+ http://factual.com/products/geopulse-audience', None)",2
"('- Factual', None)",2
"('+ http://evertoon.com/jobs/g', '+ graphics')",2
"('- unreasonable', None)",2
"('- it?', None)",2
"('- Participate', None)",2
"('+ OS', '+ experience,')",2
"(""+ don't"", '+ care')",2
"('+ iOS/Android.', '+ We')",2
"('+ big', '+ data,')",2
"('+ back', '+ end,')",2
"('+ end', '+ web,')",2
"('+ levels.', '+ Front')",2
"('+ all', '+ experience')",2
"('+ developers', '+ at')",2
"('+ Time.', '+ http://thehackerati.com')",2
"('+ NY.', '+ Full')",2
"('+ http://thehackerati.com', None)",2
"('- href=""http://www.thehackerati.com""', None)",2
"('+ some', '+ experience')",2
"('+ touch.', '+ Ideally')",2
"('+ and', '+ Ubuntu')",2
"('+ for', '+ Ubuntu')",2
"('+ key', '+ apps')",2
"('+ what', '+ languages')",2
"('+ you', '+ know,')",2
"('+ highly', '+ skilled')",2
"('- Prosody', None)",2
"('- Platform""', None)",2
"('+ http://dzone.theresumator.com/', None)",2
"('+ Platform', None)",2
"('- href=""https://github.com/chatid""', None)",2
"('+ https://github.com/chatid', None)",2
"('- NVIDIA.', '+ MIT.')",2
"('+ to', '+ launch')",2
"('- href=""https://prosody.im/""', None)",2
"('+ in', '+ at')",2
"('+ use', '+ the')",2
"('- >]', None)",2
"('- href=""http://dzone.theresumator.com/""', None)",2
"('+ tend', '+ to')",2
"('+ application', '+ developer')",2
"('+ agile', '+ and')",2
"('+ least', '+ one.')",2
"('+ SDK', '+ and')",2
"('+ on', '+ core')",2
"('- ""Best', None)",2
"('+ Ontario,', '+ Canada')",2
"('- booster', None)",2
"('- juice', None)",2
"('- breaks;', None)",2
"('+ office', '+ in')",2
"('- catered', None)",2
"('- breakfast,', None)",2
"('- lunch,', None)",2
"('- Portsmouth,', '+ Portland,')",2
"('- Wilton', None)",2
"('+ Wton', None)",2
"('- recommending', None)",2
"('+ recommendation', None)",2
"('- dinner;', None)",2
"('- convenient', None)",2
"('- Bottomline’s', None)",2
"('- suite', None)",2
"('- SaaS/cloud', None)",2
"('- kitchen', None)",2
"('- snacked-filled', None)",2
"('+ 27', None)",2
"('- -------------------------------------------------------------', '+ -----------------------------')",2
"('+ end', '+ engineer')",2
"('+ great', '+ front')",2
"('+ description', '+ of')",2
"('+ QML/Qt/JS/HTML5)', '+ Looking')",2
"('+ Front', '+ end')",2
"('+ Canonical,', '+ is')",2
"('+ London,', '+ UK.')",2
"('- started', None)",2
"('- 27""', None)",2
"('+ to', '+ join')",2
"('+ our', '+ team')",2
"('+ about', '+ building')",2
"('- cofounders,', None)",2
"('- 4MM', None)",2
"('- control', None)",2
"('- council', None)",2
"('+ Best', None)",2
"('+ https://chatid.gethired.com/', None)",2
"('- Toronto', None)",2
"('+ the', '+ shift')",2
"('+ ROLE', '+ -')",2
"('+ both', '+ UI')",2
"('- together', None)",2
"('+ Engineer', '+ More')",2
"('+ info', '+ -')",2
"('+ produce', '+ ebooks.')",2
"('- year.', None)",2
"('- quarter', None)",2
"('+ We', '+ also')",2
"('+ the', '+ front-end.')",2
"('+ Mission', '+ District,')",2
"('+ CoffeeScript', '+ on')",2
"('- seas', None)",2
"('- GS', '+ G')",2
"('+ Backbone', '+ and')",2
"('+ ☆☆', None)",2
"('- ☆☆☆', None)",2
"('+ developers.', '+ Full')",2
"('+ Time', '+ and/or')",2
"('+ contract.', '+ Also')",2
"('+ the', '+ world')",2
"('+ Nimble', '+ Storage,')",2
"('+ info', None)",2
"('+ for', '+ communication:')",2
"('+ name', '+ for')",2
"('- href=""http://jobs.enchantedlabs.com""', None)",2
"('+ One', '+ of')",2
"('- WellMatch', None)",2
"('+ to', '+ change')",2
"('+ starting', '+ to')",2
"('+ Francisco,', '+ full-time')",2
"('+ the', '+ full-time')",2
"('- Teespring', None)",2
"('+ company,', '+ Enchanted')",2
"('- initiatives.', None)",2
"('- Being', None)",2
"('+ a', '+ designer')",2
"('+ to', '+ using')",2
"('+ national', '+ client')",2
"('- href=""https://chatid.gethired.com/""', None)",2
"('+ roster', '+ including')",2
"('+ Full', '+ Time.')",2
"('+ questions.', '+ Based')",2
"('+ website,', '+ and')",2
"('+ can', '+ apply')",2
"('+ startup.', '+ You')",2
"('+ typical', '+ YC')",2
"('+ Project', '+ Coordinator')",2
"('+ Cary,', '+ NC.')",2
"('- href=""http://disqus.com""', None)",2
"('+ http://disqus.com', None)",2
"('- href=""http://grnh.se/0vy62q""', None)",2
"('+ http://grnh.se/0vy62q', None)",2
"(""+ you'd"", '+ see')",2
"('+ same', '+ kinds')",2
"('- href=""http://chatid.com""', None)",2
"('+ http://chatid.com', None)",2
"('- BOSH', '+ Bosh')",2
"('+ http://thehackerati.com', '+ >')",2
"('+ Software', '+ developers')",2
"('+ at', '+ all')",2
"('- agile', None)",2
"('+ Euclid', '+ is')",2
"('- person', None)",2
"('- talented', None)",2
"('+ are', '+ making')",2
"('+ Sass', '+ and')",2
"('+ MySQL,', '+ Redis,')",2
"('+ Inc.,', '+ is')",2
"('- >http://byliner.com/jobs</a>', '+ Based')",2
"('+ technologies:', '+ Java/Web.')",2
"('- driving', None)",2
"('- J2Objc.', None)",2
"('+ Account', None)",2
"('- Accounts', None)",2
"('- second,', None)",2
"('- macOS', '+ Mac')",2
"('- Feather', '+ Flutter')",2
"('- combine', None)",2
"('- Lua', None)",2
"('- organizational', None)",2
"('- do,', None)",2
"('- stream?', None)",2
"('- realtime', None)",2
"('- Flywheel', None)",2
"('- (raf@,', None)",2
"('- connections', None)",2
"('+ (faf@,', None)",2
"('+ at', '+ http://dimagi.com/about/careers/')",2
"('+ child', '+ health,')",2
"('+ http://dimagi.com/about/careers/', ""+ >'"")",2
"('+ or', '+ interns)')",2
"('- concurrent', None)",2
"('- mantra', None)",2
"('- moving', None)",2
"('- mindset.', None)",2
"('- collaboration,', None)",2
"('- creativity,', None)",2
"('- fosters', None)",2
"('- nerdy', None)",2
"('- quirky', None)",2
"('- inside.', None)",2
"('+ and', '+ play')",2
"('+ flywheel', None)",2
"('- 2-3', None)",2
"('- inc.', None)",2
"('- VPS', None)",2
"('- Then', None)",2
"('+ Product', '+ manager')",2
"('- You:', None)",2
"('- built:', None)",2
"('- switching', None)",2
"('- interesting?', None)",2
"('+ Chicago,', '+ IL')",2
"('+ a', '+ technology')",2
"('- here?', None)",2
"('- Us', None)",2
"('- TDD.', None)",2
"('- AWS', None)",2
"('+ some', '+ of')",2
"('+ also', '+ looking')",2
"('- automation,', None)",2
"('+ friends', None)",2
"('- RabbitMQ', None)",2
"('- InfluxDB,', None)",2
"('+ and', '+ the')",2
"('- SASS/LESS', None)",2
"('- D3,', None)",2
"('+ interested', '+ in')",2
"('+ resources', None)",2
"('+ PS', '+ While')",2
"('- Angular.js,', None)",2
"('- Require.js,', None)",2
"('+ look', '+ for')",2
"('+ looking', '+ for:')",2
"('- Backbone.js,', None)",2
"('+ then', '+ we')",2
"('- href=""http://disqus.com/about""', None)",2
"('- needs.', None)",2
"('- on-call', None)",2
"('- closing', None)",2
"('- pager', None)",2
"('- priorities,', None)",2
"('- establishing', None)",2
"('- insider', None)",2
"('- cause,', None)",2
"('- root', None)",2
"('- identifying', None)",2
"('- troubleshooting,', None)",2
"('- urgency', None)",2
"('- jump,', None)",2
"('- They', None)",2
"('- customers’', None)",2
"('+ NY.', '+ The')",2
"('- effort.', None)",2
"('- stare,', None)",2
"('- games', None)",2
"('- around.', None)",2
"('- companies', None)",2
"('- gaming', None)",2
"('- cross', None)",2
"('- manual', None)",2
"('- true', None)",2
"('- minimal', None)",2
"('- Uken', None)",2
"('- duty', None)",2
"('- smile,', None)",2
"('+ company', None)",2
"('- response', None)",2
"('- feeding', None)",2
"('- appropriately', None)",2
"('- respond', None)",2
"('- servers', None)",2
"('+ our', '+ new')",2
"('- (Poland)', None)",1
"('- $7500', None)",1
"('- vacation!', None)",1
"('+ Polandand)', None)",1
"('+ LinkFindr,', '+ is')",1
"('- PAY', None)",1
"('- (Yes,', None)",1
"('- friendships', None)",1
"('+ Market,', None)",1
"('- introductions', '+ introduceations')",1
"('- href=""http://linkfindr.com/linkfindr/default/about""', None)",1
"('- Warsaw', '+ Wia')",1
"('+ to', '+ commute')",1
"('- >http://linkfindr.com/linkfindr/default/about</a>', ""+ '"")",1
"('- level?', None)",1
"('- Healthcare', None)",1
"('+ Edinburgh,', '+ UK.')",1
"('+ not', '+ wanting')",1
"('- affiliates', None)",1
"('+ HTML+CSS', '+ on')",1
"('- Pass', None)",1
"('+ company,', '+ LinkFindr,')",1
"('+ (poland).', '+ The')",1
"('- Eco', None)",1
"('+ Boulderroad.', '+ The')",1
"('+ We�', None)",1
"('+ FreeAgent', '+ -')",1
"('- >http://ful.lc/11p4NOa</a>)', None)",1
"('+ in', '+ Poland')",1
"('- href=""http://ful.lc/11p4NOa""', None)",1
"('+ on', '+ Python.')",1
"('- More', None)",1
"('- right.', None)",1
"('+ technologies:', '+ HTML+CSS')",1
"('+ anybody', '+ based')",1
"('+ London', '+ and')",1
"('- we’ll', None)",1
"('+ python', '+ for')",1
"('- eventual', '+ initial')",1
"('+ Android),', '+ and')",1
"('- Pearson', '+ OpenD')",1
"('- methods', None)",1
"('- $125', None)",1
"('+ Perm', '+ position.')",1
"('+ Orlin.', None)",1
"('+ like', '+ Scotland,')",1
"('+ Ruby,', '+ free')",1
"('+ lunches,', '+ free')",1
"('- Norlin.', None)",1
"('+ applet', '+ and')",1
"('+ interfaces', '+ (Web')",1
"('- Lindzon', None)",1
"('+ everything', '+ else.')",1
"('- Economic', '+ Economics')",1
